pico_Interval Start,pico_Interval End,pico_Interval Duration
26167144.000,26167444.000,300.000
26167744.000,26168044.000,300.000
26168344.000,26168644.000,300.000
26168944.000,26169244.000,300.000
26169544.000,26169844.000,300.000
26170144.000,26170444.000,300.000
26170744.000,26171044.000,300.000
26171344.000,26171644.000,300.000
26171944.000,26172244.000,300.000
26172544.000,26172844.000,300.000
26173144.000,26173444.000,300.000
26173744.000,26174044.000,300.000
26174344.000,26174644.000,300.000
26174944.000,26175244.000,300.000
26175544.000,26175844.000,300.000
26176144.000,26176444.000,300.000
26176744.000,26177044.000,300.000
26177344.000,26177644.000,300.000
26177944.000,26178244.000,300.000
26178544.000,26178844.000,300.000
26179144.000,26179444.000,300.000
26179744.000,26180044.000,300.000
26180344.000,26180644.000,300.000
26180944.000,26181244.000,300.000
26181544.000,26181844.000,300.000
26182144.000,26182444.000,300.000
26182744.000,26183044.000,300.000
26183344.000,26183644.000,300.000
26183944.000,26184244.000,300.000
26184544.000,26184844.000,300.000
26185144.000,26185444.000,300.000
26185744.000,26186044.000,300.000
26186344.000,26186644.000,300.000
26186944.000,26187244.000,300.000
26187544.000,26187844.000,300.000
26188144.000,26188444.000,300.000
26188744.000,26189044.000,300.000
26189344.000,26189644.000,300.000
26189944.000,26190244.000,300.000
26190544.000,26190844.000,300.000
26191144.000,26191444.000,300.000
26191744.000,26192044.000,300.000
26192344.000,26192644.000,300.000
26192944.000,26193244.000,300.000
26193544.000,26193844.000,300.000
26194144.000,26194444.000,300.000
26194744.000,26195044.000,300.000
26195344.000,26195644.000,300.000
26195944.000,26196244.000,300.000
26196544.000,26196844.000,300.000
26197144.000,26197444.000,300.000
26197744.000,26198044.000,300.000
26198344.000,26198644.000,300.000
26198944.000,26199244.000,300.000
26199544.000,26199844.000,300.000
26200144.000,26200444.000,300.000
26200744.000,26201044.000,300.000
26201344.000,26201644.000,300.000
26201944.000,26202244.000,300.000
26202544.000,26202844.000,300.000
26203144.000,26203444.000,300.000
26203744.000,26204044.000,300.000
26204344.000,26204644.000,300.000
26204944.000,26205244.000,300.000
26205544.000,26205844.000,300.000
26206144.000,26206444.000,300.000
26206744.000,26207044.000,300.000
26207344.000,26207644.000,300.000
26207944.000,26208244.000,300.000
26208544.000,26208844.000,300.000
26209144.000,26209444.000,300.000
26209744.000,26210044.000,300.000
26210344.000,26210644.000,300.000
26210944.000,26211244.000,300.000
26211544.000,26211844.000,300.000
26212144.000,26212444.000,300.000
26212744.000,26213044.000,300.000
26213344.000,26213644.000,300.000
26213944.000,26214244.000,300.000
26214544.000,26214844.000,300.000
26215144.000,26215444.000,300.000
26215744.000,26216044.000,300.000
26216344.000,26216644.000,300.000
26216944.000,26217244.000,300.000
26217544.000,26217844.000,300.000
26218144.000,26218444.000,300.000
26218744.000,26219044.000,300.000
26219344.000,26219644.000,300.000
26219944.000,26220244.000,300.000
26220544.000,26220844.000,300.000
26221144.000,26221444.000,300.000
26221744.000,26222044.000,300.000
26222344.000,26222644.000,300.000
26222944.000,26223244.000,300.000
26223544.000,26223844.000,300.000
